Title,Slug,URL,Categories,Rating,Genres,Language,Quality,Download Links
"Agents of the Four Seasons: Dance of Spring (Season 1) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] CR DUB 1080p 720p HEVC [2026 Anime Series-[Episode 10 Added!]","agents-of-the-four-seasons-dance-of-spring-s01-hindi","https://new.pikahd.co/agents-of-the-four-seasons-dance-of-spring-s01-hindi","10bit-hevc; animated; animation; anime-hindi-dubbed; drama; fantasy; romance; triple-audio-anime-hindi-dubbed","","","","",""
"Wistoria: Wand and Sword (Season 2) Hindi Dubbed (ORG) English + Japanese [Triple Audio] WEB-DL 1080p 720p 480p HD [2024– Anime Series] [Episode 08 Added !]","wistoria-wand-and-sword-s02-hindi","https://new.pikahd.co/wistoria-wand-and-sword-s02-hindi","10bit-hevc; action; adventure; anime-hindi-dubbed; drama; fantasy; triple-audio-anime-hindi-dubbed","","","","",""
"Liar Game (Season 1) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p 720p HEVC HD [2026- Anime Series [Episode 09  Added!]","liar-game-s01-hindi","https://new.pikahd.co/liar-game-s01-hindi","animated; animation; anime-hindi-dubbed; drama; japanese; thriller","","","","",""
"An Observation Log of My Fiancée Who Calls Herself a Villainess (Season 1) Hindi Dubbed (ORG) [Triple Audio] WEB-DL 1080p 720p 480p HD [2026- Anime Series] [Episode 09 Added !]","an-observation-log-of-my-fiancee-who-calls-herself-a-villainess-s01-hindi","https://new.pikahd.co/an-observation-log-of-my-fiancee-who-calls-herself-a-villainess-s01-hindi","animation; anime-hindi-dubbed; comedy; drama; fantasy; romance; sci-fi","","","","",""
"Watari-kun's ****** Is About to Collapse (Season 1) in Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p HEVC HD [2025 Anime Series -[ S1 All Episodes - zip Added!]","watari-kuns-is-about-to-collapse-s01-hindi","https://new.pikahd.co/watari-kuns-is-about-to-collapse-s01-hindi","10bit-hevc; animated; anime-eng-subbed; anime-dubbed; anime-hindi-dubbed; comedy; drama; triple-audio-anime-hindi-dubbed","","","","",""
"The Angel Next Door Spoils Me Rotten (Season 2) Hindi Dubbed (ORG) & Japanese [Dual Audio] AMZN WEB DL 1080p 720p HEVC HD [2026- Anime Series [ Episode 09 Added!]","the-angel-next-door-spoils-me-rotten-s02-hindi","https://new.pikahd.co/the-angel-next-door-spoils-me-rotten-s02-hindi","10bit-hevc; animation; anime-hindi-dubbed; comedy; drama; dual-audio; romance","","","","",""
"The Warrior Princess and the Barbaric King (Season 1) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p & 720p HEVC HD [2025- Anime Series [S1 Episode 08 Added!]","the-warrior-princess-and-the-barbaric-king-s01-hindi","https://new.pikahd.co/the-warrior-princess-and-the-barbaric-king-s01-hindi","adventure; animation; anime-hindi-dubbed; comedy; fantasy; romance","","","","",""
"Snowball Earth (Season 1) Hindi Dubbed & English & Japanese [Triple Audio] WEB-DL 1080p & 720p HD [2026– Anime Series] [S1 Episode 09 Added]","snowball-earth-s01-hindi","https://new.pikahd.co/snowball-earth-s01-hindi","action; adventure; animation; anime-dubbed; anime-hindi-dubbed; fantasy; hindi-dubbed; mecha; sci-fi","","","","",""
"I Made Friends with the Second Prettiest Girl in My Class (Season 1) Hindi Dubbed (ORG) & Japanese [Dual Audio] 1080p & 720p HEVC HD [2026- Anime Series [Episode 04 Added!]","i-made-friends-with-the-second-prettiest-girl-in-my-class-s01-hindi","https://new.pikahd.co/i-made-friends-with-the-second-prettiest-girl-in-my-class-s01-hindi","10bit-hevc; animated; anime-hindi-dubbed; comedy; dual-audio; romance","","","","",""
"Witch Hat Atelier (Season 1) Hindi Dubbed (ORG) & Japanese [Dual Audio] WEB-DL 1080p & 720p HD [2025– Anime Series] [Episode 09 Added]","witch-hat-atelier-season-1-hindi","https://new.pikahd.co/witch-hat-atelier-season-1-hindi","adventure; animation; anime-hindi-dubbed; drama; dual-audio; fantasy; hindi-dubbed; japanese","","","","",""
"Re: Zero - Starting Life in Another World (Season 4) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] WEB-DL 1080p 720p 480p HD [2026 Anime Series] [Episode - 03 Added !]","re-zero-s04-hindi","https://new.pikahd.co/re-zero-s04-hindi","10bit-hevc; adventure; animated; anime-dubbed; anime-hindi-dubbed; fantasy; isekai; mystery; thriller; triple-audio-anime-hindi-dubbed","","","","",""
"Baki-Dou: The Invincible Samurai (Season 1 Part 1) Hindi Dubbed 5.1 (ORG) & English + Japanese [Triple Audio] WEB-DL 1080p & 720p HD [2026– Anime Series] [All Episodes - zip Added]","baki-dou-the-invincible-samurai-s01-hindi","https://new.pikahd.co/baki-dou-the-invincible-samurai-s01-hindi","action; animation; anime-dubbed; anime-hindi-dubbed; drama; hindi-dubbed; netflix; series-netflix; sports; thriller","","","","",""
"Trigun Stargaze (Season 01) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] WEB-DL 720p & 1080p HEVC [2023-] [All Episodes - zip Added!]","trigun-stargaze-s01-hindi","https://new.pikahd.co/trigun-stargaze-s01-hindi","10bit-hevc; action; adventure; animated; animation; anime-eng-subbed; anime-dubbed; anime-hindi-dubbed; triple-audio-anime-hindi-dubbed","","","","",""
"The Legend of Vox Machina (Season 4) Hindi Dubbed (DD 5.1) & English [Dual Audio] WEB-DL 1080p & 720p HD [2026 Adult Animated Series] [S4 Episode 07-09 Added]","the-legend-of-vox-machina-s4-hindi","https://new.pikahd.co/the-legend-of-vox-machina-s4-hindi","action; adult; adventure; amazon-prime; animated; animation; comedy; dual-audio; fantasy; hindi-dubbed","","","","",""
"Grand Blue Dreaming (Season 2) Hindi Dubbed (ORG) & Japanese [Dual Audio] WEB-DL 1080p & 720p HD [2018–2025 Anime Series] [All Episodes - zip Added]","grand-blue-dreaming-s02-hindi","https://new.pikahd.co/grand-blue-dreaming-s02-hindi","10bit-hevc; animated; anime-hindi-dubbed; comedy; drama; dual-audio","","","","",""
"Arco (2025) Hindi Dubbed (DD5.1) & French [Dual Audio] BluRay 2160p 1080p 720p 480p HDR/DV [French Animated Movie]","arco-2025-hindi","https://new.pikahd.co/arco-2025-hindi","adventure; animated; animation; dual-audio; fantasy; sci-fi","","","","",""
"The Rising of the Shield Hero (Season 4) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] WEB-DL 1080p & 720p HEVC HD [2019 Anime Series] [S4 All Episodes - zip Added]","the-rising-of-the-shield-hero-s04-hindi","https://new.pikahd.co/the-rising-of-the-shield-hero-s04-hindi","10bit-hevc; action; adventure; animated; anime-eng-subbed; anime-dubbed; anime-hindi-dubbed; fantasy; isekai-fantasy; triple-audio-anime-hindi-dubbed","","","","",""
"Scum of the Brave (Season 1) Hindi Dubbed (ORG) & Japanese [Dual Audio] AMZN WEB DL 1080p & 720p HEVC HD [2026-Anime Series- [Episode - 16 Added!]","scum-of-the-brave-s01-hindi","https://new.pikahd.co/scum-of-the-brave-s01-hindi","action; amazon-prime; animated; anime-hindi-dubbed; comedy; dual-audio; fantasy","","","","",""
"That Time I Got Reincarnated as a Slime (Season 4) Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p & 720p HEVC HD [2018- Anime Series [S4 Episode 03 Added!]","that-time-i-got-reincarnated-as-a-slime-s04-hindi","https://new.pikahd.co/that-time-i-got-reincarnated-as-a-slime-s04-hindi","10bit-hevc; action; adventure; animated; anime-dubbed; anime-hindi-dubbed; comedy; fantasy; triple-audio-anime-hindi-dubbed","","","","",""
"Primal (Season 3) in English (DD5.1) With English Subtitles WEB-DL 1080p 720p 480p HD [2026 Adult Animated Series] [ All Episodes + Zip Added !]","primal-season-3-eng","https://new.pikahd.co/primal-season-3-eng","action; adult; adventure; animated; english-subtitles","","","","",""
"Primal (Season 2) in English (DD5.1) With English Subtitles WEB-DL 1080p 720p 480p HD [2022 Adult Animated Series] [ All Episodes + Zip Added !]","primal-season-2-eng","https://new.pikahd.co/primal-season-2-eng","action; adult; adventure; animated; english-subtitles","","","","",""
"Primal (Season 1) in English (DD5.1) With English Subtitles WEB-DL 1080p 720p 480p HD [2019 Adult Animated Series] [ All Episodes + Zip Added !]","primal-season-1-eng","https://new.pikahd.co/primal-season-1-eng","action; adult; adventure; animated; animation; english-subtitles","","","","",""
"Captain Tsubasa (Season 1) Hindi Dubbed (ORG) & Japanese [Dual Audio] WEB-DL 1080p & 720p HD [2018–2019 Anime Series] [Episodes 40 - 42 Added]","captain-tsubasa-season-1-hindi","https://new.pikahd.co/captain-tsubasa-season-1-hindi","animation; anime-hindi-dubbed; comedy; drama; dual-audio; family; hindi-dubbed; japanese; sports","","","","",""
"Farming Life in Another World (Season 1) in Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p & 720p HEVC HD [2023-2026 Anime Series -[ S1 Episode 01 - 02 Added!]","farming-life-in-another-world-s01-hindi","https://new.pikahd.co/farming-life-in-another-world-s01-hindi","10bit-hevc; animation; anime-dubbed; anime-hindi-dubbed; fantasy; romance","","","","",""
"Farming Life in Another World (Season 2) in Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p & 720p HEVC HD [2023-2026 Anime Series -[ S2 Episode 01 - 02 Added!]","farming-life-in-another-world-s02-hindi","https://new.pikahd.co/farming-life-in-another-world-s02-hindi","10bit-hevc; animated; animation; anime-dubbed; anime-hindi-dubbed; fantasy; romance; triple-audio-anime-hindi-dubbed","","","","",""
"Rick and Morty (Season 9) WEB-DL 1080p 720p 480p HD [In English (5.1 DD) + Eng Subtitles] [2026 TV Series] S9 Episode 04 Added","rick-and-morty-s09","https://new.pikahd.co/rick-and-morty-s09","action; adult; adventure; animated; animation; comedy; drama; english-subtitles; fantasy; sci-fi; tv-shows","","","","",""
"Tamon's B-Side (Season 1) Hindi Dubbed & English & Japanese [Triple Audio] WEB-DL 1080p & 720p HD [2026– Anime Series] [S1 Episodes 02 Added]","tamon-kun-ima-docchi-s01-hindi","https://new.pikahd.co/tamon-kun-ima-docchi-s01-hindi","animation; anime-dubbed; anime-hindi-dubbed; comedy; drama; hindi-dubbed; romance","","","","",""
"Bunnicula (Season 1) Hindi Dubbed (ORG) [Dual Audio] WEB-DL 1080p 720p 480p HD [2016-2019 Animated Series] [All Episodes Added !]","bunnicula-2016-season-1-hindi","https://new.pikahd.co/bunnicula-2016-season-1-hindi","adventure; animated; animation; comedy; dual-audio; fantasy; sci-fi","","","","",""
"Wacky Races (Season 1) Hindi Dubbed (ORG) & English [Dual Audio] WEB-DL 1080p & 720p HD [2017–2019 Animated Series] [S1 All Episodes Added]","wacky-races-2017-s01-hindi","https://new.pikahd.co/wacky-races-2017-s01-hindi","animation; dual-audio; family; fantasy; hindi-dubbed; sports","","","","",""
"Naruto the Movie: Ninja Clash in the Land of Snow - Hindi Dubbed (ORG) & English + Japanese [Triple Audio] 1080p & 720p HEVC HD [2004 - Anime Movie-[ All links Added!]","naruto-the-movie-ninja-clash-in-the-land-of-snow-hindi","https://new.pikahd.co/naruto-the-movie-ninja-clash-in-the-land-of-snow-hindi","10bit-hevc; action; adventure; animated; anime-dubbed; anime-hindi-dubbed; comedy; triple-audio-anime-hindi-dubbed","","","","",""
"I Am Frankelda (2025) Hindi Dubbed (DD5.1) & English & Spanish [Multi Audio] WEB-DL 1080p 720p 480p HD [Spanish Animated Movie]","i-am-frankelda-2025-hindi","https://new.pikahd.co/i-am-frankelda-2025-hindi","animation; family; fantasy; horror; movie; musical","","","","",""
"Oshi No Ko (Season 1) Hindi Dubbed & English & Japanese [Triple Audio] WEB-DL 1080p & 720p HD [2023– Anime Series] [S1 All Episodes + Zip Added]","oshi-no-ko-season-1-hindi","https://new.pikahd.co/oshi-no-ko-season-1-hindi","animation; anime-dubbed; anime-hindi-dubbed; drama; fantasy; hindi-dubbed","","","","",""
